Age,Income,Year,Heart_disease,Coronary_heart_disease,Heart_attack,Stroke,Cancer,Arthritis,Diabetes
18-44 years,Poor,2011-2013,4.6,1.6,0.7,1,2,8.7,3.5
18-44 years,Near poor,1999-2001,4.9,1.2,0.5,0.6,2.2,~,2.2
18-44 years,Near poor,2002-2004,4.8,1.3,0.4,0.6,2.3,~,2.4
18-44 years,Near poor,2005-2007,4.4,1.4,*,*,1.7,8.5,3.6
18-44 years,Near poor,2008-2010,4.4,1.7,*,0.6,2.3,7.6,3.5
18-44 years,Near poor,2011-2013,3.9,1.1,0.4,0.6,1.8,7.7,3.1
18-44 years,Nonpoor,1999-2001,4.2,0.7,0.2,0.3,2.2,~,1.9
18-44 years,Nonpoor,2002-2004,4.3,0.9,0.3,0.4,1.7,~,1.6
18-44 years,Nonpoor,2005-2007,3.9,0.7,0.3,*,1.9,6.5,1.6
18-44 years,Nonpoor,2008-2010,4.1,0.9,0.4,0.4,2.3,6.6,2.4
18-44 years,Nonpoor,2011-2013,3.3,0.6,0.3,0.4,1.9,6.8,2
18-24 years,All,1999-2001,3.6,*,*,*,0.9,~,1
18-24 years,All,2002-2004,3.3,0.4,*,*,0.7,~,0.8
18-24 years,All,2005-2007,2.7,*,*,*,0.9,2.2,*
18-24 years,All,2008-2010,3.6,0.8,*,*,0.7,1.9,0.7
18-24 years,All,2011-2013,2.5,0.3,*,*,0.8,2.4,0.9
18-24 years,Poor,1999-2001,4.1,*,*,*,1.5,~,1.2
18-24 years,Poor,2002-2004,3.4,*,*,*,1,~,*
18-24 years,Poor,2005-2007,2.9,*,*,*,*,2.2,*
18-24 years,Poor,2008-2010,3.4,*,*,*,*,1.8,*
18-24 years,Poor,2011-2013,3.4,*,*,*,0.9,3.6,1
18-24 years,Near poor,1999-2001,3.6,*,*,*,*,~,*
18-24 years,Near poor,2002-2004,3.7,*,*,*,*,~,*
18-24 years,Near poor,2005-2007,3.5,*,*,*,*,3.1,*
18-24 years,Near poor,2008-2010,3.8,*,*,*,*,3.1,*
18-24 years,Near poor,2011-2013,2.1,*,*,*,*,2.6,1.1
18-24 years,Nonpoor,1999-2001,3.4,*,*,*,*,~,*
18-24 years,Nonpoor,2002-2004,3,*,*,*,*,~,*
18-24 years,Nonpoor,2005-2007,2.3,*,*,*,*,1.8,*
18-24 years,Nonpoor,2008-2010,3.5,*,*,*,*,1.4,*
18-24 years,Nonpoor,2011-2013,2.2,*,*,*,0.6,1.7,0.7
25-44 years,All,1999-2001,5,1.2,0.5,0.5,2.6,~,2.3
25-44 years,All,2002-2004,4.9,1.3,0.4,0.6,2.3,~,2.4
25-44 years,All,2005-2007,4.6,1.2,0.5,0.3,2.2,8.7,2.7
25-44 years,All,2008-2010,4.7,1.6,0.6,0.7,2.7,9,3.5
25-44 years,All,2011-2013,4.1,1.1,0.5,0.6,2.3,9.2,3.1
25-44 years,Poor,1999-2001,7.8,3,1.4,1.3,2.9,~,3
25-44 years,Poor,2002-2004,6.4,2.6,0.8,1.2,2.8,~,4.6
25-44 years,Poor,2005-2007,6.2,2.4,*,1,2.9,11.8,4.8
25-44 years,Poor,2008-2010,7.3,3.6,1.6,1.5,2.5,12.5,4.6
25-44 years,Poor,2011-2013,5.5,2.4,1.1,1.6,2.8,12.3,5.3
25-44 years,Near poor,1999-2001,5.5,1.6,0.7,0.8,2.9,~,2.6
25-44 years,Near poor,2002-2004,5.3,1.7,0.6,0.9,3,~,3
25-44 years,Near poor,2005-2007,4.8,1.8,*,*,2.2,10.6,4.6
25-44 years,Near poor,2008-2010,4.6,2,*,0.7,3.2,9.6,4.8
25-44 years,Near poor,2011-2013,4.8,1.4,0.5,0.8,2.2,10.2,4
25-44 years,Nonpoor,1999-2001,4.4,0.9,0.3,0.4,2.5,~,2.2
25-44 years,Nonpoor,2002-2004,4.6,1,0.3,0.4,2,~,1.8
25-44 years,Nonpoor,2005-2007,4.3,0.9,0.4,*,2.1,7.7,1.9
25-44 years,Nonpoor,2008-2010,4.3,1,0.5,0.6,2.6,8,2.9
25-44 years,Nonpoor,2011-2013,3.6,0.7,0.3,0.4,2.2,8.2,2.4
45-64 years,All,1999-2001,13.1,7.6,4.1,2.3,8.3,~,9.3
45-64 years,All,2002-2004,12.3,6.9,3.7,2.5,7.9,~,9.9
45-64 years,All,2005-2007,12.2,6.7,3.3,2.8,8.3,28.2,10.6
45-64 years,All,2008-2010,13.2,7.3,3.5,3,9.9,30.3,12.1
45-64 years,All,2011-2013,12.3,7.2,3.7,2.8,9.2,30.2,12.3
45-64 years,Poor,1999-2001,22.2,14.4,8.5,5.3,8,~,16
45-64 years,Poor,2002-2004,22.6,15,7.7,7.3,8.6,~,17.5
45-64 years,Poor,2005-2007,19.7,12,5.9,6.8,7.1,35.7,18.7
45-64 years,Poor,2008-2010,21.8,14,7.3,7.3,9.1,37.8,18.5
45-64 years,Poor,2011-2013,19.4,13.8,7.5,7.4,8.5,38.8,20.6
45-64 years,Near poor,1999-2001,16.5,10.7,6.2,3.7,7.6,~,16.2
45-64 years,Near poor,2002-2004,16.5,10.3,6.1,4.9,7.5,~,15
45-64 years,Near poor,2005-2007,16.7,9.8,5.4,6.2,7.9,32.3,15.8
45-64 years,Near poor,2008-2010,18.7,11.3,6.3,6.2,10.1,34.8,17.6
45-64 years,Near poor,2011-2013,15.3,9.9,5.6,4.4,7.6,33.3,16.9
45-64 years,Nonpoor,1999-2001,11.6,6.4,3.3,1.7,8.4,~,7.5
45-64 years,Nonpoor,2002-2004,10.5,5.5,2.9,1.6,7.9,~,8.3
45-64 years,Nonpoor,2005-2007,10.6,5.6,2.7,1.8,8.5,26.7,8.9
45-64 years,Nonpoor,2008-2010,11,5.6,2.5,1.8,10,28.5,10.1
45-64 years,Nonpoor,2011-2013,10.8,5.7,2.7,1.9,9.7,28.3,10.2
45-54 years,All,1999-2001,10.1,5.1,2.6,1.6,6.3,~,7
45-54 years,All,2002-2004,9,4.1,1.9,1.5,6,~,7.9
45-54 years,All,2005-2007,9.1,4.1,2.1,2.2,6.2,22.7,8.2
45-54 years,All,2008-2010,9.7,4.4,2,2.1,7.1,25.1,8.6
45-54 years,All,2011-2013,9.1,4.6,2.4,2,6.1,23.8,9.1
45-54 years,Poor,1999-2001,16.4,11,7,3.8,5.9,~,11.8
45-54 years,Poor,2002-2004,19.2,11.5,4.9,4.6,7.9,~,15.9
45-54 years,Poor,2005-2007,17.8,9.5,4.9,5.8,5.5,31.5,15.7
45-54 years,Poor,2008-2010,19.2,12.4,5.4,5.6,6.9,34,13.3
45-54 years,Poor,2011-2013,14.8,10.2,5.3,5.1,5.5,35.4,17
45-54 years,Near poor,1999-2001,12.3,6.8,3.4,2.4,5,~,12.7
45-54 years,Near poor,2002-2004,11.7,6.4,3.4,3.4,5.5,~,10.8
45-54 years,Near poor,2005-2007,11.5,5.4,*,4.4,6.6,24.2,12.7
45-54 years,Near poor,2008-2010,11.3,5,2.4,3.4,7.3,26.7,12.7
45-54 years,Near poor,2011-2013,10.5,5.8,3.3,2.8,5.1,25.1,12.5
45-54 years,Nonpoor,1999-2001,9.2,4.3,2.1,1.3,6.5,~,5.8
45-54 years,Nonpoor,2002-2004,7.6,3.1,1.4,0.8,5.9,~,6.6
45-54 years,Nonpoor,2005-2007,7.7,3.3,1.5,1.4,6.2,21.5,6.6
45-54 years,Nonpoor,2008-2010,8.1,3.1,1.4,1.3,7.2,23.5,7.1
45-54 years,Nonpoor,2011-2013,7.9,3.5,1.7,1.4,6.4,21.7,7.2
55-64 years,All,1999-2001,17.8,11.6,6.4,3.3,11.3,~,13
55-64 years,All,2002-2004,17.1,10.9,6.3,4,10.7,~,12.9
55-64 years,All,2005-2007,16.3,10.1,5.1,3.7,11.1,35.5,13.9
55-64 years,All,2008-2010,17.5,10.8,5.5,4.2,13.3,36.8,16.4
55-64 years,All,2011-2013,16.1,10.2,5.2,3.8,12.9,37.5,15.9
55-64 years,Poor,1999-2001,29.8,18.8,10.6,7.3,10.7,~,21.4
55-64 years,Poor,2002-2004,27,19.3,11.2,10.7,9.4,~,19.6
55-64 years,Poor,2005-2007,22.5,15.6,7.3,8.2,9.3,41.7,23
55-64 years,Poor,2008-2010,25.8,16.5,10.1,10,12.4,43.7,26.3
55-64 years,Poor,2011-2013,25.3,18.5,10.3,10.3,12.5,43.1,25.3
55-64 years,Near poor,1999-2001,21.3,15.1,9.4,5.2,10.7,~,20.2
55-64 years,Near poor,2002-2004,22,14.9,9.3,6.6,9.8,~,19.8
55-64 years,Near poor,2005-2007,23.2,15.3,7.8,8.4,9.5,42.2,19.6
55-64 years,Near poor,2008-2010,27.2,18.6,10.9,9.3,13.3,44.1,23.2
55-64 years,Near poor,2011-2013,21,14.8,8.3,6.2,10.6,42.9,22
55-64 years,Nonpoor,1999-2001,15.5,10,5.3,2.3,11.5,~,10.4
55-64 years,Nonpoor,2002-2004,14.9,9.2,5.2,2.7,11,~,10.7
55-64 years,Nonpoor,2005-2007,14.5,8.7,4.4,2.5,11.6,33.7,12
55-64 years,Nonpoor,2008-2010,14.6,8.6,3.8,2.4,13.5,34.5,13.9
55-64 years,Nonpoor,2011-2013,13.9,8.2,3.9,2.4,13.4,35.7,13.5
65+ years (age-adjusted),All,1999-2001,31.8,21.3,12.1,9.1,19.8,~,15.1
65+ years (age-adjusted),All,2002-2004,32.3,22.1,11.9,9.6,21.6,~,17.2
65+ years (age-adjusted),All,2005-2007,31.3,21,11.9,8.3,22.2,47.8,18.6
65+ years (age-adjusted),All,2008-2010,30.4,20.9,10.5,8.3,23.6,51.5,21.4
65+ years (age-adjusted),All,2011-2013,30.6,20.7,10.2,8.6,24.5,49.2,20.5
65+ years (age-adjusted),Poor,1999-2001,32.3,21.8,11.8,9.9,17.8,~,19.8
65+ years (age-adjusted),Poor,2002-2004,33.5,23.5,12.9,13.2,15.1,~,22.2
65+ years (age-adjusted),Poor,2005-2007,33.9,22.8,13.4,10.3,19.3,55.3,23
65+ years (age-adjusted),Poor,2008-2010,30.1,21,11.6,10.9,16.3,55.3,29.2
65+ years (age-adjusted),Poor,2011-2013,31.8,24.1,12.9,11.7,17.4,50.2,28.3
65+ years (age-adjusted),Near poor,1999-2001,32.8,22.7,13.2,11.2,17.6,~,16.7
65+ years (age-adjusted),Near poor,2002-2004,33.9,22.7,12.7,10.2,21.6,~,19.4
65+ years (age-adjusted),Near poor,2005-2007,30.3,20.7,13,9.6,20.2,49.3,20.4
65+ years (age-adjusted),Near poor,2008-2010,30.6,22.6,12.3,10.7,20.5,53,23
65+ years (age-adjusted),Near poor,2011-2013,31.9,22.5,12.5,11.2,21.6,51.1,23.9
65+ years (age-adjusted),Nonpoor,1999-2001,31.6,20.9,11.7,8.3,21,~,13.8
65+ years (age-adjusted),Nonpoor,2002-2004,31.6,21.9,11.7,8.8,22.9,~,15.6
65+ years (age-adjusted),Nonpoor,2005-2007,31.4,20.9,11.2,7.6,23.6,46.3,17.5
65+ years (age-adjusted),Nonpoor,2008-2010,30.5,20.3,9.8,7.1,26,50.3,19.8
65+ years (age-adjusted),Nonpoor,2011-2013,30.1,19.7,9.1,7.3,26.7,48.4,18.4
65+ years (crude),All,1999-2001,31.5,21.2,12.1,9,19.7,~,15.2
65+ years (crude),All,2002-2004,32.1,22,11.9,9.4,21.5,~,17.3
65+ years (crude),All,2005-2007,31.2,20.9,11.9,8.3,22.1,47.7,18.7
65+ years (crude),All,2008-2010,30.1,20.7,10.4,8.2,23.5,51.3,21.4
65+ years (crude),All,2011-2013,30.1,20.3,10,8.4,24.3,49,20.6
65+ years (crude),Poor,1999-2001,32.5,22,12,10.1,17.8,~,19.6
65+ years (crude),Poor,2002-2004,33.6,23.5,12.9,13.3,15.3,~,22.1
65+ years (crude),Poor,2005-2007,33.9,22.9,13.5,10.3,19.4,55.3,22.9
65+ years (crude),Poor,2008-2010,30.1,21.2,11.6,10.8,16.3,55.4,29.1
65+ years (crude),Poor,2011-2013,31.9,24.2,13,11.7,17.5,50.2,28.1
65+ years (crude),Near poor,1999-2001,32.9,22.7,13.3,11.2,17.7,~,16.5
65+ years (crude),Near poor,2002-2004,34.7,23,12.7,10.5,22,~,18.8
65+ years (crude),Near poor,2005-2007,30.8,21,13.2,9.8,20.3,49.7,20
65+ years (crude),Near poor,2008-2010,31.2,23,12.4,10.8,20.8,53.3,22.8
65+ years (crude),Near poor,2011-2013,32.5,23,12.7,11.5,21.9,51.5,23.5
65+ years (crude),Nonpoor,1999-2001,30.7,20.4,11.6,7.8,21,~,14
65+ years (crude),Nonpoor,2002-2004,30.8,21.3,11.4,8.3,22.4,~,15.8
65+ years (crude),Nonpoor,2005-2007,30.8,20.6,11.1,7.4,23.2,45.8,17.6
65+ years (crude),Nonpoor,2008-2010,29.6,19.7,9.5,6.8,25.5,50,19.8
65+ years (crude),Nonpoor,2011-2013,29.1,18.9,8.7,6.8,26,48,18.5
65-74 years,All,1999-2001,26.8,17.7,10.3,6.9,18.1,~,16.7
65-74 years,All,2002-2004,27.3,18.4,10.1,6.9,18.7,~,18.5
65-74 years,All,2005-2007,27.1,18.6,10.7,6.3,19.6,43.4,20
65-74 years,All,2008-2010,24.3,16.5,8.3,6.1,20.4,49,21.4
65-74 years,All,2011-2013,25.5,16.9,8.2,6.5,21.6,46.9,21.2
65-74 years,Poor,1999-2001,29.5,19.5,9.8,7.8,17.7,~,21.1
65-74 years,Poor,2002-2004,32.9,22.7,12.9,11.8,11.9,~,23.4
65-74 years,Poor,2005-2007,32.8,21.4,12.8,10.2,18.9,54.1,26
65-74 years,Poor,2008-2010,28.6,20.5,12.4,9.8,15.3,54.2,32.5
65-74 years,Poor,2011-2013,30.1,23.7,13.3,11.2,16.9,48.4,31.5
65-74 years,Near poor,1999-2001,30.4,21.2,11.9,10.7,15.6,~,21
65-74 years,Near poor,2002-2004,30,21.1,12.4,8.1,19.6,~,22.7
65-74 years,Near poor,2005-2007,26.2,18.2,11.3,7.3,19.7,46.4,24.4
65-74 years,Near poor,2008-2010,25.7,18.7,10.8,9.4,18.3,50.4,22.7
65-74 years,Near poor,2011-2013,27.4,19.5,11.4,10,19.2,49,26.3
65-74 years,Nonpoor,1999-2001,25,16.2,9.7,5.4,19,~,14.4
65-74 years,Nonpoor,2002-2004,25.6,16.8,8.9,5.7,19.5,~,16.4
65-74 years,Nonpoor,2005-2007,26.6,18.4,10.3,5.4,19.6,41,17.8
65-74 years,Nonpoor,2008-2010,23.4,15.3,7,4.6,21.7,47.9,19.6
65-74 years,Nonpoor,2011-2013,24.5,15.4,6.8,5,22.8,46.2,18.7
75-84 years,All,1999-2001,36.6,25.1,14.4,10.4,22,~,14.6
75-84 years,All,2002-2004,36.7,25.7,14,11.3,24.7,~,17.3
75-84 years,All,2005-2007,34.4,22.5,12.6,10.2,24.7,52.5,18.4
75-84 years,All,2008-2010,36.8,25.2,13.1,10.3,26.6,53.5,23.4
75-84 years,All,2011-2013,34.3,23.5,12.2,10,27,50.8,21.1
75-84 years,Poor,1999-2001,35.1,25.4,15.2,11.6,17,~,20
75-84 years,Poor,2002-2004,32.1,22.7,11.8,12.5,18.6,~,22.7
75-84 years,Poor,2005-2007,36.1,25.8,16.3,9.8,22.6,56.2,21.6
75-84 years,Poor,2008-2010,30.7,20.5,11.9,12.2,17.2,55.1,27.5
75-84 years,Poor,2011-2013,32.5,23.5,11.8,12.6,17.2,53.1,27.9
75-84 years,Near poor,1999-2001,35.8,24.4,14.1,11.5,19.1,~,13.6
75-84 years,Near poor,2002-2004,37.4,23.9,12.9,11.9,24,~,17.4
75-84 years,Near poor,2005-2007,34.6,22.7,13.6,12,21.8,52.3,17.4
75-84 years,Near poor,2008-2010,35.6,26.1,13.6,11.8,21.3,55.3,26.1
75-84 years,Near poor,2011-2013,35.8,25.1,14,11.6,23.9,52,23.9
75-84 years,Nonpoor,1999-2001,37.3,25.4,14.4,9.6,24.3,~,14.1
75-84 years,Nonpoor,2002-2004,37.1,27.3,15.1,10.8,26.3,~,16.3
75-84 years,Nonpoor,2005-2007,34,21.8,11.6,9.4,26.5,51.9,18.3
75-84 years,Nonpoor,2008-2010,38.2,25.5,13,9.4,30.3,52.5,21.6
75-84 years,Nonpoor,2011-2013,33.9,22.8,11.4,8.9,30.1,49.9,18.7
85 and over,All,1999-2001,39.1,25.8,13.3,15.1,20.5,~,10
85 and over,All,2002-2004,40.7,27.5,13.7,15.9,24.5,~,11.5
85 and over,All,2005-2007,40.3,27.1,14.9,11.7,26,53.4,13.5
85 and over,All,2008-2010,37.8,27.2,12.7,11.7,28.8,55.7,15.8
85 and over,All,2011-2013,41.3,28.7,12.9,13.2,29.5,54.4,15.8
85 and over,Poor,1999-2001,35.6,21.4,*,14,20.1,~,14
85 and over,Poor,2002-2004,40.1,29.1,*,21.1,18.8,~,*
85 and over,Poor,2005-2007,31.9,19.7,*,*,*,57.8,*
85 and over,Poor,2008-2010,34.6,25.2,*,*,*,60.7,19.6
85 and over,Poor,2011-2013,37.2,27.8,14.8,11.2,20.5,49.7,16.2
85 and over,Near poor,1999-2001,34.1,24,16,12.8,21.5,~,7.3
85 and over,Near poor,2002-2004,40.3,25.7,13.1,13.8,22.9,~,11.5
85 and over,Near poor,2005-2007,35.8,25.7,18.8,12,17.7,53.2,12.2
85 and over,Near poor,2008-2010,37.2,28.8,14.5,13.1,27.3,56.9,15.5
85 and over,Near poor,2011-2013,39.9,27.8,13.2,15.4,25.3,57.5,13.9
85 and over,Nonpoor,1999-2001,43.3,28.2,12.3,16.9,20.1,~,10.5
85 and over,Nonpoor,2002-2004,41.1,28.3,13.5,16,27.2,~,10.3
85 and over,Nonpoor,2005-2007,44.1,29.1,14.4,11.5,32.7,52.7,14
85 and over,Nonpoor,2008-2010,38.8,26.7,12.6,10.9,31.7,54,15.2
85 and over,Nonpoor,2011-2013,43,29.3,12.4,12.4,33.6,53.6,16.7
